latency,average,timestamp,callback_time
10614784,22.506619,1743572623063165184,1743572623073779968
11534336,22.511566,1743572623125263872,1743572623136798208
11707904,22.504166,1743572623186757376,1743572623198465280
10481152,22.508319,1743572623249925888,1743572623260407040
11730176,22.507165,1743572623314064640,1743572623325794816
10180352,22.515209,1743572623376586752,1743572623386767104
11384064,22.511846,1743572623438040064,1743572623449424128
9902080,22.506094,1743572623500660224,1743572623510562304
10459136,22.506476,1743572623562769152,1743572623573228288
9604096,22.509137,1743572623626564096,1743572623636168192
9971456,22.510186,1743572623690517760,1743572623700489216
10242048,22.508593,1743572623753940224,1743572623764182272
9502464,22.497746,1743572623816731648,1743572623826234112
10327296,22.505032,1743572623877515264,1743572623887842560
10933504,22.505329,1743572623938490112,1743572623949423616
10540544,22.508817,1743572623999465984,1743572624010006528
10327552,22.512705,1743572624060145920,1743572624070473472
11576832,22.510547,1743572624121144320,1743572624132721152
10605312,22.510828,1743572624184216320,1743572624194821632
11790592,22.506590,1743572624248117504,1743572624259908096
13320704,22.505403,1743572624309900288,1743572624323220992
11056896,22.502913,1743572624371008000,1743572624382064896
11417856,22.506793,1743572624433745920,1743572624445163776
13046016,22.511133,1743572624496625664,1743572624509671680
10530816,22.509530,1743572624558310400,1743572624568841216
11392000,22.497025,1743572624620297472,1743572624631689472
12270848,22.505679,1743572624682973184,1743572624695244032
10510848,22.508701,1743572624745405696,1743572624755916544
10819584,22.510485,1743572624806908416,1743572624817728000
12502528,22.509206,1743572624869413120,1743572624881915648
10697728,22.510957,1743572624931217408,1743572624941915136
11590656,22.511550,1743572624994413824,1743572625006004480
12568320,22.508467,1743572625056595456,1743572625069163776
14372096,22.517936,1743572625117900288,1743572625132272384
10052864,22.529938,1743572625180673280,1743572625190726144
13082112,22.519489,1743572625243961088,1743572625257043200
9813504,22.513836,1743572625307460352,1743572625317273856
10696448,22.522787,1743572625370493440,1743572625381189888
11527936,22.516976,1743572625433530112,1743572625445058048
11669760,22.525257,1743572625496781568,1743572625508451328
10247680,22.515979,1743572625559166464,1743572625569414144
21049088,22.517801,1743572625621442816,1743572625642491904
10447104,22.528319,1743572625684555520,1743572625695002624
11860480,22.529969,1743572625746906112,1743572625758766592
11391744,22.526951,1743572625809172224,1743572625820563968
10256128,22.525582,1743572625869406720,1743572625879662848
14067712,22.529849,1743572625931983104,1743572625946050816
11853568,22.519909,1743572625994519296,1743572626006372864
10870272,22.516127,1743572626055894784,1743572626066765056
11368960,22.523333,1743572626119411968,1743572626130780928
10831360,22.528959,1743572626182511360,1743572626193342720
10046976,22.535883,1743572626242775040,1743572626252822016
11746048,22.532125,1743572626304793600,1743572626316539648
11242752,22.527100,1743572626366219520,1743572626377462272
9931264,22.531827,1743572626428168448,1743572626438099712
12481792,22.531409,1743572626490346752,1743572626502828544
12078592,22.528235,1743572626551532800,1743572626563611392
10707200,22.530471,1743572626614660608,1743572626625367808
10449920,22.517324,1743572626677299456,1743572626687749376
10027264,22.525988,1743572626740668160,1743572626750695424
10093568,22.517622,1743572626802961920,1743572626813055488
9709312,22.503968,1743572626864808448,1743572626874517760
10956544,22.498818,1743572626928126720,1743572626939083264
10730240,22.509689,1743572626991557888,1743572627002288128
12348672,22.514541,1743572627054452224,1743572627066800896
10917632,22.511408,1743572627114950144,1743572627125867776
9348096,22.505117,1743572627176058624,1743572627185406720
11997696,22.515335,1743572627240098816,1743572627252096512
11167488,22.527819,1743572627302976000,1743572627314143488
10435584,22.519454,1743572627364849152,1743572627375284736
10441472,22.521797,1743572627428329216,1743572627438770688
10338816,22.524490,1743572627492352000,1743572627502690816
9608960,22.527853,1743572627554082304,1743572627563691264
10067712,22.526624,1743572627617221376,1743572627627289088
11500288,22.524181,1743572627679683072,1743572627691183360
9506304,22.518549,1743572627741830912,1743572627751337216
10771968,22.518369,1743572627805486336,1743572627816258304
10209280,22.528005,1743572627869649920,1743572627879859200
12030720,22.523202,1743572627932858880,1743572627944889600
10075648,22.521141,1743572627995406848,1743572628005482496
11414528,22.514206,1743572628055596544,1743572628067011072
10883072,22.506913,1743572628117469440,1743572628128352512
10860800,22.500405,1743572628181126912,1743572628191987712
11431424,22.493113,1743572628242802176,1743572628254233600
11281664,22.496355,1743572628303949056,1743572628315230720
11156992,22.494773,1743572628366582272,1743572628377739264
11110656,22.498350,1743572628427190528,1743572628438301184
9911552,22.496347,1743572628488723456,1743572628498635008
10246912,22.490523,1743572628551176704,1743572628561423616
9645568,22.500424,1743572628613747200,1743572628623392768
9844480,22.502638,1743572628677068032,1743572628686912512
11223808,22.507649,1743572628739443712,1743572628750667520
11675136,22.495451,1743572628802173696,1743572628813848832
9851648,22.500156,1743572628865172224,1743572628875023872
10420992,22.501843,1743572628928400896,1743572628938821888
11596544,22.508967,1743572628991886336,1743572629003482880
12855808,22.512264,1743572629054673920,1743572629067529728
10569472,22.514680,1743572629117684736,1743572629128254208
18359296,22.511584,1743572629180491008,1743572629198850304
10802176,22.520194,1743572629242776320,1743572629253578496
